"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Authentication","0","Session handling","1","0","The catalogue is not reachable unauthenticated","0"
"0","Checkout","0","Customer information","3","0","Required fields are enforced","0"
"0","","0","Accessibility","1","0","The cart has no blocking accessibility defects","0"
"0","Checkout","0","Order totals","1","1","The item total is displayed as a currency amount","0"
"0","Authentication","0","Sign in","3","0","Required fields are enforced","0"
"0","Authentication","0","Sign in","8","0","Invalid credentials are rejected","0"
"0","Checkout","0","Order totals","1","0","Every selected product is listed on the order overview","0"
"0","Checkout","0","Abandoning an order","1","0","Cancelling from the overview keeps the cart","0"
"0","Authentication","0","Sign in","3","0","Malicious input is rejected without leaking behavior","0"
"0","Authentication","0","Sign in","5","0","Every advertised account reaches the catalogue","0"
"0","Shopping cart","0","Cart contents","1","0","A product can be removed","0"
"0","Product catalogue","0","Cart state","1","0","Reset App State empties the cart","0"
"0","","0","Accessibility","1","0","Checkout has no blocking accessibility defects","0"
"0","Shopping cart","0","Navigation","1","0","Continue shopping preserves the cart","0"
"0","Checkout","0","Order totals","1","0","The item total matches the selected products","0"
"0","Authentication","0","Session handling","1","0","Signing out ends the session","0"
"0","Authentication","0","Sign in","1","0","Sign-in stays within its performance budget","0"
"0","Product catalogue","0","Sorting","1","0","Products sort by ascending price","0"
"0","Authentication","0","Sign in","1","0","The login page advertises its accepted accounts","0"
"0","Product catalogue","0","Sorting","1","0","Products sort by descending price","0"
"0","Product catalogue","0","Sorting","1","0","Products sort by name","0"
"0","Checkout","0","Order totals","1","0","Tax and the payable total are correct","0"
"0","Authentication","0","Sign in","1","0","The form submits from the keyboard","0"
"0","Product catalogue","0","Product detail","1","0","The cart survives a return to the catalogue","0"
"0","Authentication","0","Session handling","1","0","A signed-out session cannot be restored","0"
"0","Product catalogue","0","Product detail","1","0","A product can be removed from its detail page","0"
"0","Shopping cart","0","Cart contents","1","0","Selected products are retained","0"
"0","Checkout","0","Order completion","1","0","A completed order empties the cart","0"
"0","Authentication","0","Sign in","1","0","A locked-out account is refused","0"
"0","Authentication","0","Sign in","1","0","A failed sign-in can be corrected without reloading","0"
"0","Product catalogue","0","Product detail","1","0","A product's detail page matches the catalogue","0"
"0","Authentication","0","Sign in","1","0","The standard account reaches the catalogue","0"
"0","Product catalogue","0","Product detail","1","0","A product can be bought from its detail page","0"
"0","Checkout","0","Abandoning an order","1","0","Cancelling customer information returns to the cart","0"
"0","Authentication","0","Sign in","1","0","A rejected attempt does not carry over","0"
"0","Authentication","0","Sign in","1","0","The performance-glitch account is measurably degraded","0"
"0","Product catalogue","0","Cart state","0","1","Reset App State refreshes the catalogue buttons","0"
"0","","0","Accessibility","0","1","The catalogue has no blocking accessibility defects","0"
"0","Product catalogue","0","Cart state","1","0","A product can be removed from the catalogue listing","0"
"0","Checkout","0","Order completion","1","0","An order can be placed end to end","0"
"0","Authentication","0","Sign in","1","0","Credentials are not exposed on screen","0"
"0","","0","Accessibility","1","0","The sign-in screen has no blocking accessibility defects","0"
